X,Y,Z,Orientation
0.94,8.90,-1.50,DOWN
1.21,9.59,-1.07,DOWN
1.09,9.14,-2.36,DOWN
1.03,9.12,-4.16,DOWN
1.38,9.12,-6.34,DOWN
1.66,7.97,-7.40,DOWN
0.99,8.03,-7.37,DOWN
-0.27,7.63,-7.51,DOWN
-0.36,7.70,-8.10,DOWN
-0.86,8.36,-6.60,DOWN
-1.77,8.77,-3.28,DOWN
-0.07,8.62,-0.20,DOWN
1.81,9.52,1.86,DOWN
4.67,8.15,0.74,DOWN
6.62,8.21,-2.20,DOWN
4.50,8.06,-5.21,DOWN
0.23,5.81,-8.51,DOWN
-3.88,8.22,-4.22,DOWN
-0.91,9.32,1.38,DOWN
3.81,8.90,1.31,DOWN
6.93,8.01,-1.47,DOWN
6.19,6.96,-4.58,DOWN
0.84,6.86,-6.61,DOWN
0.46,6.29,-6.69,DOWN
0.61,5.38,-6.82,DOWN
0.34,5.62,-7.41,DOWN
0.37,6.25,-7.76,DOWN
0.55,6.66,-7.86,DOWN
0.56,6.81,-7.88,DOWN
0.24,6.74,-7.88,DOWN
-0.09,6.61,-7.77,DOWN
-0.26,6.60,-7.60,DOWN
-0.30,6.67,-7.43,DOWN
-0.34,6.85,-7.50,DOWN
-0.53,7.07,-7.68,DOWN
-0.90,7.28,-8.00,DOWN
-1.13,7.45,-8.20,DOWN
-1.24,7.55,-8.31,DOWN
-1.27,7.59,-8.35,DOWN
-1.28,7.50,-8.32,DOWN
-1.34,7.29,-8.10,DOWN
-1.40,6.98,-7.83,DOWN
-1.47,6.76,-7.60,DOWN
-1.51,6.57,-7.46,DOWN
-1.55,6.38,-7.33,DOWN
-1.58,6.22,-7.30,DOWN
-1.72,6.01,-7.24,DOWN
-1.89,5.87,-7.29,DOWN
-2.07,5.74,-7.33,DOWN
-2.31,5.64,-7.35,DOWN
-2.55,5.64,-7.35,DOWN
-2.81,5.77,-7.30,DOWN
-3.25,6.20,-7.16,DOWN
-3.57,6.83,-7.03,DOWN
-3.91,7.54,-7.09,DOWN
-4.28,8.05,-7.09,DOWN
-4.54,8.43,-7.05,DOWN
-4.82,8.55,-7.01,DOWN
-5.02,8.31,-6.89,DOWN
-5.18,8.05,-6.78,DOWN
-5.25,7.88,-6.65,DOWN
-5.32,7.78,-6.53,DOWN
-5.34,7.69,-6.37,DOWN
-5.47,7.74,-6.11,DOWN
-5.23,7.59,-5.92,DOWN
-5.01,7.22,-5.74,DOWN
-4.78,6.93,-5.65,DOWN
-4.51,6.64,-5.66,DOWN
-4.58,6.48,-5.66,DOWN
-4.74,6.56,-5.64,DOWN
-4.87,7.12,-5.60,DOWN
-4.77,7.53,-5.70,DOWN
-4.66,7.80,-5.75,DOWN
-4.57,8.03,-5.77,DOWN
-4.50,8.29,-5.66,DOWN
-4.44,8.43,-5.49,DOWN
-4.52,8.55,-5.26,DOWN
-4.64,8.60,-5.07,DOWN
-4.62,8.48,-4.82,DOWN
-4.51,8.34,-4.60,DOWN
-4.41,8.19,-4.45,DOWN
-4.21,8.03,-4.36,DOWN
-4.27,8.03,-4.41,DOWN
-4.42,8.15,-4.51,DOWN
-4.51,8.32,-4.52,DOWN
-4.55,8.44,-4.54,DOWN
-4.44,8.41,-4.45,DOWN
-4.30,8.34,-4.37,DOWN
-4.28,8.34,-4.18,DOWN
-4.29,8.48,-3.88,DOWN
-4.10,8.57,-3.56,DOWN
-3.95,8.74,-3.23,DOWN
-3.86,8.87,-2.99,DOWN
-3.80,8.95,-2.84,DOWN
-3.73,9.05,-2.78,DOWN
-3.74,9.08,-2.66,DOWN
-3.68,9.04,-2.51,DOWN
-3.46,8.94,-2.36,DOWN
-3.39,8.85,-2.26,DOWN
